DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2018,1.53,ep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2019,1.52,bep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA18,2020,1.49,p
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2009,1.57,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2010,1.59,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2011,1.57,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2012,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2013,1.54,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2014,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2015,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2016,1.58,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2017,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2018,1.53,ep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2019,1.52,bep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EA19,2020,1.49,p
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2009,1.70,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2010,1.72,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2011,1.61,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2012,1.56,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2013,1.52,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2014,1.54,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2015,1.58,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2016,1.60,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2017,1.59,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2018,1.67,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2019,1.66,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EE,2020,1.58,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2009,1.50,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2010,1.48,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2011,1.40,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2012,1.34,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2013,1.29,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2014,1.30,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2015,1.33,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2016,1.38,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2017,1.35,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2018,1.35,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2019,1.34,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EL,2020,1.39,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2009,1.38,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2010,1.37,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2011,1.34,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2012,1.32,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2013,1.27,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2014,1.32,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2015,1.33,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2016,1.34,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2017,1.31,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2018,1.26,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2019,1.23,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,ES,2020,1.19,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2009,1.61,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2010,1.62,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2011,1.59,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2012,1.59,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2013,1.55,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2014,1.58,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2015,1.58,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2016,1.60,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2017,1.59,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2007,2018,1.56,ep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2009,1.56,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2010,1.57,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2011,1.54,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2012,1.54,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2013,1.51,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2014,1.54,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2015,1.54,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2016,1.57,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2017,1.56,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2018,1.54,ep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2019,1.53,bep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU27_2020,2020,1.50,ep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2009,1.61,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2010,1.62,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2011,1.59,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2012,1.59,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2013,1.55,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2014,1.58,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2015,1.58,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2016,1.60,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2017,1.59,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,EU28,2018,1.56,ep
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2009,1.86,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2010,1.87,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2011,1.83,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2012,1.80,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2013,1.75,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2014,1.71,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2015,1.65,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2016,1.57,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2017,1.49,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2018,1.41,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2019,1.35,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FI,2020,1.37,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2009,2.00,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2010,2.03,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2011,2.01,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2012,2.01,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2013,1.99,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2014,2.00,b
